Crime,Date,Address
Robbery,01/01/10. 09:31 PM.,TULLY ROAD AND MCLAUGHLIN AVENUE SAN JOSE
Arrest,01/01/10. 10:00 AM.,2300 BLOCK OF RADIO AVENUE SAN JOSE
Robbery,01/01/10. 02:54 AM.,EAGLES LANE AND HAYES AVENUE SAN JOSE
Assault,01/01/10. 02:23 AM.,JACKSON AND DOBERN AVENUE SAN JOSE
Arrest,01/01/10. 01:52 AM.,900 BLOCK OF FOURIER DRIVE SAN JOSE
Arrest,01/02/10. 04:33 PM.,DIANA AVENUE AND TIARA DRIVE SAN JOSE
Theft,01/03/10. 04:18 AM.,FRANCISCO AVENUE AND DE ROSE WAY SAN JOSE
Theft,01/04/10. 01:33 PM.,1300 BLOCK OF KIMBERLY DRIVE SAN JOSE
Assault,01/04/10. 07:28 PM.,500 BLOCK OF EAST BROKAW ROAD SAN JOSE
Robbery,01/04/10. 05:53 PM.,600 BLOCK OF NORTH FOURTH STREET SAN JOSE
Arrest,01/06/10. 06:11 PM.,SENTER ROAD AND ALMA AVENUE SAN JOSE
Robbery,01/11/10. 04:26 PM.,5000 BLOCK OF LEIGH AVENUE SAN JOSE
Robbery,01/11/10. 09:34 PM.,100 BLOCK OF SOUTH CAPITOL AVENUE SAN JOSE
Theft,01/11/10. 08:21 PM.,1600 BLOCK OF STORY ROAD SAN JOSE
Arrest,01/11/10. 08:02 PM.,WHITE ROAD AND ALUM ROCK AVENUE SAN JOSE
Shooting,01/11/10. 06:30 PM.,PATT AVENUE AND JIM DRIVE SAN JOSE
Robbery,01/12/10. 07:04 PM.,900 BLOCK OF MERIDIAN AVENUE SAN JOSE
Robbery,01/12/10. 06:38 PM.,3900 BLOCK OF SNELL AVENUE SAN JOSE
Arrest,01/12/10. 07:00 AM.,DOW DRIVE AND HILLSDALE AVENUE SAN JOSE
Assault,01/14/10. 04:06 PM.,NORTH JACKSON AVENUE AND RHINEHART DRIVE SAN JOSE
Arrest,01/14/10. 02:38 PM.,400 BLOCK OF WOOSTER AVENUE SAN JOSE
Assault,01/15/10. 11:56 AM.,400 BLOCK OF CALERO AVENUE SAN JOSE
Robbery,01/18/10. 10:35 PM.,BRANHAM LANE AND SNELL AVENUE SAN JOSE
Robbery,01/18/10. 09:39 PM.,VISTAPARK AND BLUEFIELD DRIVE SAN JOSE
Arrest,01/18/10. 06:55 PM.,10000 BLOCK OF ENDFIELD WAY SAN JOSE
Robbery,01/18/10. 03:11 PM.,500 BLOCK OF EAST SANTA CLARA STREET SAN JOSE
Robbery,01/19/10. 03:29 PM.,100 BLOCK OF SOUTH MARKET STREET SAN JOSE
Robbery,01/19/10. 02:30 AM.,2600 BLOCK OF OLIVESTONE WAY SAN JOSE
Assault,01/21/10. 05:05 PM.,100 BLOCK OF KEYES STREET SAN JOSE
Assault,01/21/10. 06:24 PM.,1200 BLOCK OF DEL MAR AVE SAN JOSE
Assault,01/22/10. 03:40 PM.,1600 BLOCK OF KARL STREET SAN JOSE
Arrest,01/23/10. 04:39 PM.,LAWRENCE EXPRESSWAY AND SARATOGA AVENUE SAN JOSE
Arrest,01/23/10. 10:49 AM.,10200 BLOCK OF KENILWORTH WAY SAN JOSE
Theft,01/24/10. 06:50 PM.,2300 BLOCK OF MCKEE ROAD SAN JOSE
Arrest,01/24/10. 05:48 PM.,500 BLOCK OF HAZEL DELL WAY SAN JOSE
Assault,01/24/10. 01:10 AM.,5400 BLOCK OF MONTEREY ROAD SAN JOSE
Robbery,01/26/10. 05:38 PM.,2900 BLOCK OF MERIDIAN AVENUE SAN JOSE
Assault,01/28/10. 08:00 PM.,TULLY ROAD AND HURAN DRIVE SAN JOSE
Shooting,01/29/10. 08:30 PM.,2200 BLOCK OF LANAI AVENUE SAN JOSE
Robbery,01/30/10. 08:00 PM.,2500 BLOCK OF OHLONE DRIVE SAN JOSE
Robbery,01/30/10. 12:30 PM.,1700 BLOCK OF EDUCATIONAL PARK DRIVE SAN JOSE
Arrest,01/30/10. 10:04 AM.,3400 BLOCK OF SILVER CREEK ROAD SAN JOSE
Robbery,01/30/10. 01:15 AM.,SOUTH SECOND STREET AND EL PASEO DE SAN ANTONIO SAN JOSE
Robbery,01/31/10. 03:40 AM.,300 BLOCK OF SOUTH NINTH STREET SAN JOSE
Burglary,01/31/10. 07:24 AM.,1600 BLOCK OF SARATOGA AVENUE SAN JOSE
Shooting,02/01/10. 10:30 PM.,100 BLOCK OF SOUTH 19TH STREET SAN JOSE
Arrest,02/01/10. 08:45 AM.,1300 BLOCK OF TALLAHASSEE DRIVE SAN JOSE
Arrest,02/03/10. 09:55 PM.,100 BLOCK OF ALEXANDER AVENUE SAN JOSE
Robbery,02/03/10. 05:15 PM.,1700 BLOCK OF ALUM ROCK AVENUE SAN JOSE
Robbery,02/10/10. 07:21 PM.,SAN ANTONIO STREET AND 19TH STREET SAN JOSE
Burglary,02/10/10. 09:50 PM.,1500 BLOCK OF MORRILL AVENUE SAN JOSE
Shooting,02/12/10. 04:25 AM.,100 BLOCK OF SARATOGA AVENUE SAN JOSE
Shooting,02/14/10. 06:57 PM.,2500 BLOCK OF FONTAINE ROAD SAN JOSE
Robbery,02/16/10. 03:53 PM.,1600 BLOCK OF ALUM ROCK AVENUE SAN JOSE
Robbery,02/16/10. 03:35 AM.,1300 BLOCK OF SOUTH FIRST STREET SAN JOSE
Robbery,02/16/10. 12:37 AM.,SOUTH FOURTH AND SAN SALVADOR STREETS SAN JOSE
Robbery,02/18/10. 01:39 PM.,POE LANE AND PAYNE AVENUE SAN JOSE
Arrest,02/19/10. 05:30 PM.,CAMDEN AVENUE AND LEIGH AVENUE SAN JOSE
Burglary,02/19/10. 10:51 AM.,100 BLOCK OF SHENADO PLACE SAN JOSE
Robbery,02/19/10. 01:25 PM.,1600 BLOCK OF SARATOGA AVENUE SAN JOSE
Assault,02/19/10. 01:08 AM.,2500 BLOCK OF BERRYESSA ROAD AND CAPITOL AVENUE SAN JOSE
Assault,02/20/10. 04:30 PM.,500 BLOCK OF NERDY AVENUE SAN JOSE
Assault,02/20/10. 01:07 AM.,SANTA CLARA STREET AND SECOND STREET SAN JOSE
