Crime,Date,Address,Lat,Long,Link
Robbery,01/01/10. 09:31 PM.,TULLY ROAD AND MCLAUGHLIN AVENUE SAN JOSE,37.3152287,-121.8365723,https://spotcrime.com/mobile/crime/?8339596-5bf22b96074f7be07069a19170d4d0d5
Arrest,01/01/10. 10:00 AM.,2300 BLOCK OF RADIO AVENUE SAN JOSE,37.287769,-121.8886896,https://spotcrime.com/mobile/crime/?8339595-20da6724085a841519bcb84597da9965
Robbery,01/01/10. 02:54 AM.,EAGLES LANE AND HAYES AVENUE SAN JOSE,37.2563807,-121.8218925,https://spotcrime.com/mobile/crime/?8339594-f9ea8dcd8829ebe8d80eaab62c737990
Assault,01/01/10. 02:23 AM.,JACKSON AND DOBERN AVENUE SAN JOSE,37.3521105,-121.8374431,https://spotcrime.com/mobile/crime/?8339593-987cafb15530cda0ecd99062d5792e2a
Arrest,01/01/10. 01:52 AM.,900 BLOCK OF FOURIER DRIVE SAN JOSE,37.3688915,-121.8034189,https://spotcrime.com/mobile/crime/?8339592-7d7ef7dd775dfaa366ed172dc4f6c46f
Arrest,01/02/10. 04:33 PM.,DIANA AVENUE AND TIARA DRIVE SAN JOSE,37.3464441,-121.836486,https://spotcrime.com/mobile/crime/?8339598-7cd673bc5c386a8922b6a9ba50e9b310
Theft,01/03/10. 04:18 AM.,FRANCISCO AVENUE AND DE ROSE WAY SAN JOSE,37.3036463,-121.9216487,https://spotcrime.com/mobile/crime/?8339600-c1bc843efc163f981a4cdc12465b12d1
Theft,01/04/10. 01:33 PM.,1300 BLOCK OF KIMBERLY DRIVE SAN JOSE,37.2695777,-121.8843838,https://spotcrime.com/mobile/crime/?8339604-67d7da0f3827ec0ce840f9f0d55308a8
Assault,01/04/10. 07:28 PM.,500 BLOCK OF EAST BROKAW ROAD SAN JOSE,37.3796259,-121.9095107,https://spotcrime.com/mobile/crime/?8339603-9723da76d4d163f14bdbb0d85b6b2830
Robbery,01/04/10. 05:53 PM.,600 BLOCK OF NORTH FOURTH STREET SAN JOSE,37.3484997,-121.8954517,https://spotcrime.com/mobile/crime/?8339602-81ce0563209961730fb63c54cf84cfc3
